block,name,ra,dec,months,priority
A,ACT-CL_J0008.9+0117,00:08:54.460,+01:17:01.51,5-6-7,1
A,ACT-CL_J0029.8-0343,00:29:51.999,-03:43:29.77,5-6-7,1
A,ACT-CL_J0043.8+0357,00:43:51.099,+03:57:15.92,6-7,1
A,ACT-CL_J0051.5+1259,00:51:30.574,+12:59:42.57,6-7,1
A,ACT-CL_J2050.4-0055,20:50:29.520,-00:55:43.10,4-5-6-7,2
A,ACT-CL_J2118.9-5055,21:18:54.492,-50:55:58.65,3-4-5-6-7,2
A,ACT-CL_J2146.1-4846,21:46:10.138,-48:46:39.32,4-5-6-7,2
A,ACT-CL_J2258.7+0907,22:58:43.666,+09:07:43.43,5-6-7,1
A,ACT-CL_J2355.0+0709,23:55:01.750,+07:09:56.01,5-6-7,1
